"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"MDV96YX2","journalArticle","2022","Harinarayan, R. Rajesh Alias; Shalinie, S. Mercy","XFDDC: eXplainable Fault Detection Diagnosis and Correction framework for chemical process systems","Process Safety and Environmental Protection","","09575820","10.1016/j.psep.2022.07.019","https://linkinghub.elsevier.com/retrieve/pii/S0957582022006206","","2022-09","2025-11-21 08:08:27","2025-11-21 08:08:27","2025-11-21 08:08:27","463-474","","","165","","Process Safety and Environmental Protection","XFDDC","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KLPUF9EV","journalArticle","2023","Xiao, Fei; Chen, Tao; Zhang, Jiwei; Zhang, Shaojie","Water management fault diagnosis for proton-exchange membrane fuel cells based on deep learning methods","International Journal of Hydrogen Energy","","03603199","10.1016/j.ijhydene.2023.03.097","https://linkinghub.elsevier.com/retrieve/pii/S0360319923011424","","2023-08","2025-11-21 08:08:28","2025-11-21 08:08:28","2025-11-21 08:08:28","28163-28173","","72","48","","International Journal of Hydrogen Energy","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z8YTQNW7","journalArticle","2023","Liu, Jie; Zheng, Shuwen; Wang, Chong","Causal Graph Attention Network with Disentangled Representations for Complex Systems Fault Detection","Reliability Engineering & System Safety","","09518320","10.1016/j.ress.2023.109232","https://linkinghub.elsevier.com/retrieve/pii/S0951832023001473","","2023-07","2025-11-21 08:08:28","2025-11-21 08:08:28","2025-11-21 08:08:28","109232","","","235","","Reliability Engineering & System Safety","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3NQK7NGU","conferencePaper","2024","Pezeshkpour, Pouya; Hruschka, Estevam","Large Language Models Sensitivity to The Order of Options in Multiple-Choice Questions","Findings of the Association for Computational Linguistics: NAACL 2024","","","10.18653/v1/2024.findings-naacl.130","https://aclanthology.org/2024.findings-naacl.130","","2024","2025-11-21 08:08:30","2025-11-21 08:08:30","2025-11-21 08:08:30","2006-2017","","","","","","","","","","","Association for Computational Linguistics","Mexico City, Mexico","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Findings of the Association for Computational Linguistics: NAACL 2024","","","","","","","","","","","","","","",""
"V9CFM9EN","journalArticle","2024","Zheng, Shuwen; Wang, Chong; Zio, Enrico; Liu, Jie","Fault detection in complex mechatronic systems by a hierarchical graph convolution attention network based on causal paths","Reliability Engineering & System Safety","","09518320","10.1016/j.ress.2023.109872","https://linkinghub.elsevier.com/retrieve/pii/S095183202300786X","","2024-03","2025-11-21 08:08:31","2025-11-21 08:08:31","2025-11-21 08:08:31","109872","","","243","","Reliability Engineering & System Safety","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S2Z4ZUSZ","journalArticle","2023","Xu, Jinjin; Wang, Rongxi; Liang, Zeming; Liu, Pengpeng; Gao, Jianmin; Wang, Zhen","Physics-guided, data-refined fault root cause tracing framework for complex electromechanical system","Reliability Engineering & System Safety","","09518320","10.1016/j.ress.2023.109293","https://linkinghub.elsevier.com/retrieve/pii/S0951832023002089","","2023-08","2025-11-21 08:08:31","2025-11-21 08:08:31","2025-11-21 08:08:31","109293","","","236","","Reliability Engineering & System Safety","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IEIDPGSH","journalArticle","2023","Xiong, Jianbin; Qian, Wenbo; Cen, Jian; Li, Jianxin; Liu, Jie; Tang, Liaohao","A fault diagnosis method for building electrical systems based on the combination of variational modal decomposition and new mutual dimensionless","Scientific Reports","","2045-2322","10.1038/s41598-022-27031-y","https://www.nature.com/articles/s41598-022-27031-y","Abstract                            The fault diagnosis of building electrical systems are of great significance to the safe and stable operation of modern intelligent buildings. In this paper, it has many problems, such as various fault types, inconspicuous fault characteristics, uncertainty of fault type and mode, irregularity, unstable signal, large gap between fault data classes, small gap between classes and nonlinearity, etc. A method of building electrical system fault diagnosis based on the combination of variational mode decomposition and mutual dimensionless indictor (VMD-MDI) and quantum genetic algorithm-support vector machine (QGA-SVM) is proposed. Firstly, the method decomposes the original signal through variational modal decomposition to obtain the optimal number of Intrinsic Mode Function(IMF) containing fault feature information. Secondly, extracts the mutual dimensionless indicator for each IMF. Thirdly, the optimal penalty coefficient               C               of the support vector machine and the parameter gamma (                                                   $$\gamma$$                                        γ                                                                  ) in the radial basis kernel function are selected by the quantum genetic algorithm. Finally, SVM optimized by the QGA is used to identify and classify the faults. By applying the proposed method to the experimental platform data of building electrical system, and compared with the traditional feature extraction method Empirical Mode Decomposition (EMD), Singular Value Decomposition(SVD), Local Mean Decomposition(LMD). And compared with traditional SVM, Genetic Algorithm optimized Support Vector Machine (GA-SVM), One-Dimensional Convolutional Neural Network (1DCNN) for fault classification methods. The experimental results show that the method has better effect and higher accuracy in fault diagnosis and classification of building electrical system. Its average test accuracy can reach 91.67                                                   $$\%$$                                        %                                                                  .","2023-03-20","2025-11-21 08:08:32","2025-11-21 08:08:32","2025-11-21 08:08:32","4567","","1","13","","Sci Rep","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/rreider/Zotero/storage/2FC28PS2/Xiong et al. - 2023 - A fault diagnosis method for building electrical systems based on the combination of variational mod.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8L3H5CBV","journalArticle","2022","Jiang, Benben; Lu, Qiugang","Fault Detection in Industrial Systems Using Maximized Divergence Analysis Approach","IEEE Access","","2169-3536","10.1109/ACCESS.2022.3181360","https://ieeexplore.ieee.org/document/9791262/","","2022","2025-11-21 08:08:34","2025-11-21 08:08:34","2025-11-21 08:08:33","60674-60681","","","10","","IEEE Access","","","","","","","","","https://creativecommons.org/licenses/by/4.0/legalcode","","","","DOI.org (Crossref)","","","","/home/rreider/Zotero/storage/XDGW36LT/Jiang and Lu - 2022 - Fault Detection in Industrial Systems Using Maximized Divergence Analysis Approach.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EDFGNT5D","report","2025","Yap, Marc","Contextual Personal Intelligence: A New Paradigm for AI That Evolves With You","","","","","https://zenodo.org/doi/10.5281/zenodo.16009583","Contextual Personal Intelligence (CPI) is a new paradigm for artificial intelligence — one that evolves with the individual over time, shaped by memory, meaning, rhythm, and developmental phase. CPI integrates four co-evolved systems (Polymeta, ARC, ATLAS, AURORA, VEIL) to create adaptive, relational, and life-aware AI. This white paper outlines the architectural foundation, philosophical implications, and roadmap for this new intelligence.","2025-07-08","2025-11-21 08:08:52","2025-11-21 08:08:52","2025-11-21 08:08:52","","","","","","","Contextual Personal Intelligence","","","","","Zenodo","","en","Creative Commons Attribution Non Commercial No Derivatives 4.0 International, © 2025 Marc Yap. All rights reserved.","","","","DOI.org (Datacite)","","DOI: 10.5281/ZENODO.16009583 Version Number: v4.0","","","","","Adaptive AI Architectures; AI and Identity; AI Infrastructure Design; AI Phase Modeling; ATLAS Model; Contextual Personal Intelligence; Developmental AI; Ethical AI; Human-Centered AI; Lifelong Learning AI; Memory Architecture; Narrative Intelligence; Polymorphic AI Systems; Reflective Systems","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LHY49IMV","journalArticle","2023","Ji, Yuhan; Gao, Song","Evaluating the Effectiveness of Large Language Models in Representing Textual Descriptions of Geometry and Spatial Relations (Short Paper)","LIPIcs, Volume 277, GIScience 2023","","1868-8969","10.4230/LIPICS.GISCIENCE.2023.43","https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.GIScience.2023.43","This research focuses on assessing the ability of large language models (LLMs) in representing geometries and their spatial relations. We utilize LLMs including GPT-2 and BERT to encode the well-known text (WKT) format of geometries and then feed their embeddings into classifiers and regressors to evaluate the effectiveness of the LLMs-generated embeddings for geometric attributes. The experiments demonstrate that while the LLMs-generated embeddings can preserve geometry types and capture some spatial relations (up to 73% accuracy), challenges remain in estimating numeric values and retrieving spatially related objects. This research highlights the need for improvement in terms of capturing the nuances and complexities of the underlying geospatial data and integrating domain knowledge to support various GeoAI applications using foundation models.","2023","2025-11-21 08:08:53","2025-11-21 08:08:53","2025-11-21 08:08:53","43:1-43:6","","","277","","","","","","","","","","en","Creative Commons Attribution 4.0 International license, info:eu-repo/semantics/openAccess","","","","DOI.org (Datacite)","","Artwork Size: 6 pages, 583057 bytes ISBN: 9783959772884 Medium: application/pdf Publisher: Schloss Dagstuhl – Leibniz-Zentrum für Informatik","","","","","Computing methodologies → Artificial intelligence; foundation models; GeoAI; LLMs","Beecham, Roger; Long, Jed A.; Smith, Dianna; Zhao, Qunshan; Wise, Sarah","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BPRVDMS6","conferencePaper","2022","Rao, Yongming; Zhao, Wenliang; Chen, Guangyi; Tang, Yansong; Zhu, Zheng; Huang, Guan; Zhou, Jie; Lu, Jiwen","DenseCLIP: Language-Guided Dense Prediction with Context-Aware Prompting","2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)","978-1-6654-6946-3","","10.1109/CVPR52688.2022.01755","https://ieeexplore.ieee.org/document/9878572/","","2022-06","2025-11-21 08:08:53","2025-11-21 08:08:53","2025-11-21 08:08:53","18061-18070","","","","","","DenseCLIP","","","","","IEEE","New Orleans, LA, USA","","https://doi.org/10.15223/policy-029","","","","DOI.org (Crossref)","","","","/home/rreider/Zotero/storage/ZG5EU8PZ/Rao et al. - 2022 - DenseCLIP Language-Guided Dense Prediction with Context-Aware Prompting.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)","","","","","","","","","","","","","","",""
"BEK9SGC9","journalArticle","2024","Farquhar, Sebastian; Kossen, Jannik; Kuhn, Lorenz; Gal, Yarin","Detecting hallucinations in large language models using semantic entropy","Nature","","0028-0836, 1476-4687","10.1038/s41586-024-07421-0","https://www.nature.com/articles/s41586-024-07421-0","Abstract                            Large language model (LLM) systems, such as ChatGPT               1               or Gemini               2               , can show impressive reasoning and question-answering capabilities but often ‘hallucinate’ false outputs and unsubstantiated answers               3,4               . Answering unreliably or without the necessary information prevents adoption in diverse fields, with problems including fabrication of legal precedents               5               or untrue facts in news articles               6               and even posing a risk to human life in medical domains such as radiology               7               . Encouraging truthfulness through supervision or reinforcement has been only partially successful               8               . Researchers need a general method for detecting hallucinations in LLMs that works even with new and unseen questions to which humans might not know the answer. Here we develop new methods grounded in statistics, proposing entropy-based uncertainty estimators for LLMs to detect a subset of hallucinations—confabulations—which are arbitrary and incorrect generations. Our method addresses the fact that one idea can be expressed in many ways by computing uncertainty at the level of meaning rather than specific sequences of words. Our method works across datasets and tasks without a priori knowledge of the task, requires no task-specific data and robustly generalizes to new tasks not seen before. By detecting when a prompt is likely to produce a confabulation, our method helps users understand when they must take extra care with LLMs and opens up new possibilities for using LLMs that are otherwise prevented by their unreliability.","2024-06-20","2025-11-21 08:08:55","2025-11-21 08:08:55","2025-11-21 08:08:55","625-630","","8017","630","","Nature","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/rreider/Zotero/storage/ZTGUKA7J/Farquhar et al. - 2024 - Detecting hallucinations in large language models using semantic entropy.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z4CWIATJ","conferencePaper","2024","Fan, Wenqi; Ding, Yujuan; Ning, Liangbo; Wang, Shijie; Li, Hengyun; Yin, Dawei; Chua, Tat-Seng; Li, Qing","A Survey on RAG Meeting LLMs: Towards Retrieval-Augmented Large Language Models","Proceedings of the 30th ACM SIGKDD Conference on Knowledge Discovery and Data Mining","979-8-4007-0490-1","","10.1145/3637528.3671470","https://dl.acm.org/doi/10.1145/3637528.3671470","","2024-08-25","2025-11-21 08:08:56","2025-11-21 08:08:56","2025-11-21 08:08:56","6491-6501","","","","","","A Survey on RAG Meeting LLMs","","","","","ACM","Barcelona Spain","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","KDD '24: The 30th ACM SIGKDD Conference on Knowledge Discovery and Data Mining","","","","","","","","","","","","","","",""
"V2MMU247","journalArticle","2024","Chen, Jiawei; Lin, Hongyu; Han, Xianpei; Sun, Le","Benchmarking Large Language Models in Retrieval-Augmented Generation","Proceedings of the AAAI Conference on Artificial Intelligence","","2374-3468, 2159-5399","10.1609/aaai.v38i16.29728","https://ojs.aaai.org/index.php/AAAI/article/view/29728","Retrieval-Augmented Generation (RAG) is a promising approach for mitigating the hallucination of large language models (LLMs). However, existing research lacks rigorous evaluation of the impact of retrieval-augmented generation on different large language models, which make it challenging to identify the potential bottlenecks in the capabilities of RAG for different LLMs. In this paper, we systematically investigate the impact of Retrieval-Augmented Generation on large language models. We analyze the performance of different large language models in 4 fundamental abilities required for RAG, including noise robustness, negative rejection, information integration, and counterfactual robustness. To this end, we establish Retrieval-Augmented Generation Benchmark (RGB), a new corpus for RAG evaluation in both English and Chinese. RGB divides the instances within the benchmark into 4 separate testbeds based on the aforementioned fundamental abilities required to resolve the case. Then we evaluate 6 representative LLMs on RGB to diagnose the challenges of current LLMs when applying RAG. Evaluation reveals that while LLMs exhibit a certain degree of noise robustness, they still struggle significantly in terms of negative rejection, information integration, and dealing with false information. The aforementioned assessment outcomes indicate that there is still a considerable journey ahead to effectively apply RAG to LLMs.","2024-03-24","2025-11-21 08:08:56","2025-11-21 08:08:56","2025-11-21 08:08:56","17754-17762","","16","38","","AAAI","","","","","","","","","","","","","DOI.org (Crossref)","","","","/home/rreider/Zotero/storage/7NNAR5LY/Chen et al. - 2024 - Benchmarking Large Language Models in Retrieval-Augmented Generation.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZPIPBSA4","journalArticle","2023","Badini, Silvia; Regondi, Stefano; Frontoni, Emanuele; Pugliese, Raffaele","Assessing the capabilities of ChatGPT to improve additive manufacturing troubleshooting","Advanced Industrial and Engineering Polymer Research","","25425048","10.1016/j.aiepr.2023.03.003","https://linkinghub.elsevier.com/retrieve/pii/S2542504823000192","","2023-07","2025-11-21 08:08:59","2025-11-21 08:08:59","2025-11-21 08:08:59","278-287","","3","6","","Advanced Industrial and Engineering Polymer Research","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
